"size","gender","age","edu","wealthC"
4,"1",10,0,5
4,"2",16,1,5
9,"1",45,2,5
9,"2",40,2,5
9,"2",17,2,5
9,"2",15,2,5
9,"2",19,2,5
9,"2",12,1,5
9,"2",10,1,5
9,"1",8,0,5
9,"1",5,0,5
4,"1",26,1,4
4,"2",22,1,4
4,"1",1,0,4
4,"2",4,0,4
7,"1",41,3,5
7,"2",38,2,5
7,"2",15,1,5
7,"2",13,1,5
7,"1",9,1,5
7,"1",1,0,5
7,"2",5,0,5
7,"1",46,2,5
7,"2",40,2,5
7,"2",17,2,5
7,"2",16,1,5
7,"2",8,1,5
7,"1",6,0,5
7,"2",2,0,5
7,"2",36,1,3
7,"1",13,1,3
7,"2",10,0,3
7,"2",7,0,3
7,"1",5,0,3
7,"2",11,0,3
7,"1",7,0,3
5,"2",23,1,5
5,"1",25,2,5
5,"2",4,0,5
5,"1",4,0,5
5,"2",16,1,5
9,"1",52,2,4
9,"2",52,0,4
9,"2",29,0,4
9,"2",19,2,4
9,"1",32,3,4
9,"2",2,0,4
9,"2",10,0,4
9,"1",6,0,4
9,"2",10,0,4
9,"1",32,0,4
9,"2",35,1,4
9,"1",33,0,4
9,"1",15,1,4
9,"1",10,1,4
9,"1",8,1,4
9,"1",11,2,4
9,"1",4,0,4
9,"1",7,1,4
5,"2",23,1,4
5,"1",32,1,4
5,"2",5,0,4
5,"2",3,0,4
5,"1",0,0,4
7,"2",56,2,5
7,"2",70,0,5
7,"1",12,1,5
7,"1",9,1,5
7,"1",20,2,5
7,"1",16,2,5
7,"2",34,2,5
3,"2",32,2,4
3,"1",8,0,4
3,"1",1,0,4
6,"1",55,3,5
6,"2",55,2,5
6,"1",26,2,5
6,"2",20,2,5
6,"2",15,1,5
6,"1",4,0,5
11,"2",70,1,5
11,"2",23,1,5
11,"1",21,3,5
11,"1",18,2,5
11,"2",16,1,5
11,"1",7,0,5
11,"1",6,0,5
11,"1",19,2,5
11,"2",11,1,5
11,"1",0,0,5
11,"2",3,0,5
14,"2",50,1,5
14,"1",52,2,5
14,"1",37,2,5
14,"2",28,3,5
14,"2",27,2,5
14,"2",25,3,5
14,"2",25,2,5
14,"1",22,2,5
14,"1",14,1,5
14,"1",3,0,5
14,"1",0,0,5
14,"2",0,0,5
14,"1",32,2,5
14,"2",0,0,5
3,"2",36,0,4
3,"2",5,0,4
3,"1",1,0,4
3,"2",33,1,4
3,"1",34,2,4
3,"2",10,1,4
6,"1",56,3,5
6,"2",40,1,5
6,"2",20,2,5
6,"2",27,2,5
6,"2",13,1,5
6,"2",6,0,5
1,"1",23,2,4
3,"1",33,2,4
3,"2",32,0,4
3,"2",5,0,4
2,"1",46,2,4
2,"2",29,1,4
7,"1",40,2,4
7,"2",36,0,4
7,"1",16,1,4
7,"1",7,0,4
7,"2",14,1,4
7,"2",8,1,4
7,"2",5,0,4
3,"1",29,2,4
3,"2",24,2,4
3,"1",6,0,4
1,"1",30,2,4
2,"2",53,2,4
2,"1",9,0,4
2,"2",26,3,4
2,"1",35,3,4
4,"1",26,1,4
4,"2",28,2,4
4,"2",10,1,4
4,"1",4,0,4
3,"2",42,2,4
3,"1",13,1,4
3,"1",29,2,4
2,"1",25,2,4
2,"1",20,2,4
4,"2",27,2,3
4,"2",18,1,3
4,"1",3,0,3
4,"1",0,0,3
6,"2",60,0,4
6,"2",21,1,4
6,"2",20,1,4
6,"2",15,1,4
6,"1",16,2,4
6,"1",16,1,4
1,"1",31,3,5
2,"1",30,0,3
2,"1",21,2,3
3,"2",22,1,4
3,"1",25,2,4
3,"1",2,0,4
3,"2",30,0,4
3,"1",10,1,4
3,"1",9,1,4
2,"2",27,2,5
2,"1",28,2,5
9,"1",51,3,4
9,"2",45,0,4
9,"2",14,1,4
9,"1",12,1,4
9,"1",11,1,4
9,"1",10,1,4
9,"2",8,1,4
9,"1",3,0,4
9,"2",6,0,4
3,"1",53,2,3
3,"2",48,0,3
3,"1",7,0,3
15,"2",55,1,3
15,"2",40,0,3
15,"2",12,1,3
15,"2",10,0,3
15,"2",7,0,3
15,"1",26,0,3
15,"1",4,0,3
15,"2",6,0,3
15,"1",12,1,3
15,"2",4,0,3
15,"2",10,0,3
15,"2",0,0,3
15,"1",1,0,3
15,"2",6,0,3
15,"2",20,0,3
11,"2",43,0,3
11,"2",19,1,3
11,"2",18,1,3
11,"2",15,1,3
11,"1",13,1,3
11,"1",18,2,3
11,"2",4,0,3
11,"1",3,0,3
11,"1",3,0,3
11,"2",23,2,3
11,"1",1,0,3
4,"2",24,0,3
4,"2",8,0,3
4,"2",5,0,3
4,"1",3,0,3
1,"2",35,3,4
11,"1",68,2,2
11,"2",64,0,2
11,"2",41,0,2
11,"2",8,0,2
11,"1",9,0,2
11,"2",6,0,2
11,"2",1,0,2
11,"2",37,0,2
11,"2",18,1,2
11,"2",13,0,2
11,"2",1,0,2
7,"1",67,2,4
7,"2",54,1,4
7,"2",21,2,4
7,"2",15,1,4
7,"2",9,1,4
7,"1",7,0,4
7,"1",16,2,4
5,"1",42,2,4
5,"2",36,1,4
5,"1",12,1,4
5,"2",11,1,4
