"","location","size","wealth","gender","age","education"
"631",14,9,3,1,41,0
"632",14,3,1,2,43,1
"633",14,5,3,2,40,0
"634",14,5,5,1,40,1
"635",14,3,3,1,40,2
"636",14,10,4,2,37,1
"637",14,13,3,2,54,0
"638",14,7,1,2,65,0
"639",1,3,1,2,26,0
"640",1,1,3,1,55,2
"641",1,3,3,2,21,1
"642",1,3,3,2,52,9
"643",1,4,3,1,43,0
"644",1,1,2,1,18,2
"645",1,2,3,2,35,2
"646",1,3,3,1,36,0
"647",1,8,3,2,42,0
"648",1,5,3,1,33,1
"649",1,2,3,1,28,1
"650",1,3,2,2,18,2
"651",1,3,3,1,65,0
"652",1,2,3,1,32,2
"653",1,6,3,1,70,0
"654",1,5,3,1,29,1
"655",1,1,3,1,60,1
"656",1,3,3,1,60,2
"657",1,7,1,2,47,1
"658",1,5,2,1,35,0
"659",1,5,1,2,57,0
"660",1,5,1,1,49,1
"661",1,2,3,1,25,2
"662",1,4,3,1,28,2
"663",1,3,3,1,52,2
"664",1,5,3,1,39,2
"665",1,2,3,1,56,1
"666",1,8,3,2,61,0
"667",1,4,2,2,25,0
"668",11,2,4,1,23,2
"669",11,4,4,1,66,0
"670",11,1,4,1,30,2
"671",11,3,4,1,39,0
"672",11,5,4,1,58,2
"673",11,4,5,1,50,0
"674",11,7,4,2,43,1
"675",11,6,4,2,38,0
"676",11,3,4,2,31,1
"677",11,4,4,1,44,0
"678",11,3,4,2,20,2
"679",11,4,4,1,28,0
"680",11,3,4,1,35,2
"681",11,4,4,2,36,0
"682",11,4,4,1,39,2
"683",11,2,4,1,28,3
"684",11,2,4,1,33,2
"685",11,6,4,1,50,1
"686",11,4,4,2,25,0
"687",11,1,4,1,24,2
"688",11,3,4,1,28,2
"689",11,2,5,1,42,0
"690",11,2,4,2,52,2
"691",11,2,4,1,20,2
"692",11,7,5,1,38,1
"693",11,3,5,2,26,2
"694",11,5,5,1,55,0
"695",11,7,4,1,28,0
"696",11,3,4,1,61,0
"697",11,3,4,1,31,0
"698",5,14,2,1,48,2
"699",5,5,1,1,29,0
"700",5,9,2,1,67,1
"701",5,6,2,1,53,0
